sample;annotation
coca;[(0, 4, 'B-BRAND')]
coca cola zero;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND'), (10, 14, 'I-BRAND')]
coca-;[(0, 5, 'B-BRAND')]
coca-cola;[(0, 9, 'B-BRAND')]
cocka;[(0, 5, 'B-BRAND')]
coco;[(0, 4, 'B-BRAND')]
cof;[(0, 3, 'B-TYPE')]
cofess;[(0, 6, 'B-BRAND')]
coffe;[(0, 5, 'B-TYPE')]
coffeso;[(0, 7, 'B-BRAND')]
coffesso;[(0, 8, 'B-BRAND')]
col;[(0, 3, 'B-BRAND')]
cola;[(0, 4, 'B-BRAND')]
colag;[(0, 5, 'B-BRAND')]
colai;[(0, 5, 'B-BRAND')]
colcola;[(0, 7, 'B-BRAND')]
coldate;[(0, 7, 'B-BRAND')]
colgat;[(0, 6, 'B-BRAND')]
colgate;[(0, 7, 'B-BRAND')]
colgon;[(0, 6, 'B-BRAND')]
colla;[(0, 5, 'B-BRAND')]
collonil очистите;[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]
collonil очистител;[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE')]
collonil растяжите;[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE')]
collonil растяжител;[(0, 8, 'B-BRAND'), (9, 19, 'B-TYPE')]
collonil растяжитель;[(0, 8, 'B-BRAND'), (9, 20, 'B-TYPE')]
confeestory;[(0, 11, 'B-BRAND')]
conti;[(0, 5, 'B-BRAND')]
coocki;[(0, 6, 'B-TYPE')]
coodmix;[(0, 7, 'B-BRAND')]
cookies;[(0, 7, 'B-TYPE')]
cool cola;[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
coolc;[(0, 5, 'B-BRAND')]
coolcila;[(0, 8, 'B-BRAND')]
corilla;[(0, 7, 'B-BRAND')]
corrado маринованн;[(0, 7, 'B-BRAND'), (8, 18, 'B-TYPE')]
corrado маринованны;[(0, 7, 'B-BRAND'), (8, 19, 'B-TYPE')]
corrado маринованный;[(0, 7, 'B-BRAND'), (8, 20, 'B-TYPE')]
cosmos удлинител;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
cosmos удлинители;[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]
cotanyi;[(0, 7, 'B-BRAND')]
coteelgan;[(0, 9, 'O')]
cotex;[(0, 5, 'B-BRAND')]
crem;[(0, 4, 'B-TYPE')]
crema;[(0, 5, 'B-TYPE')]
creme;[(0, 5, 'B-TYPE')]
crinkles;[(0, 8, 'B-BRAND')]
crispy;[(0, 6, 'B-TYPE')]
crystalex стака;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
csaeon;[(0, 6, 'O')]
cupa;[(0, 4, 'B-BRAND')]
curran;[(0, 6, 'B-BRAND')]
curti;[(0, 5, 'B-BRAND')]
curtis;[(0, 6, 'B-BRAND')]
curtis толстов;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
curtis толстовк;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
curver крыш;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
cutris;[(0, 6, 'B-BRAND')]
cveza;[(0, 5, 'B-BRAND')]
cykoria кориц;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
cykoria корице;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
cykoria корицей;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
cykoria куск;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
cykoria куску;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
cykoria носк;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
cykoria носков;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
cykoria укр;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
cykoria укро;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
cykoria шампанск;[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]
cykoria шампанско;[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
cykoria шампанское;[(0, 7, 'B-BRAND'), (8, 18, 'B-TYPE')]
cалфетки;[(0, 8, 'B-TYPE')]
cахъар;[(0, 6, 'B-TYPE')]
cвинина;[(0, 7, 'B-TYPE')]
cгущенка;[(0, 8, 'B-TYPE')]
cливки;[(0, 6, 'B-TYPE')]
cметана;[(0, 7, 'B-TYPE')]
cок;[(0, 3, 'B-TYPE')]
cосиски;[(0, 7, 'B-TYPE')]
cушки;[(0, 5, 'B-TYPE')]
cыр;[(0, 3, 'B-TYPE')]
cырки;[(0, 5, 'B-TYPE')]
da;[(0, 2, 'O')]
danissimo пас;[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
danissimo пасх;[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]
danissimo пасха;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
danke сов;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
danke совк;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
danke совки;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
danone му;[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
danone пасх;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
dd;[(0, 2, 'O')]
dececo;[(0, 6, 'O')]
dee;[(0, 3, 'B-BRAND')]
defort отверт;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
defort отвертк;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
defort перфорато;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
deli;[(0, 4, 'B-BRAND')]
delic;[(0, 5, 'B-BRAND')]
delica;[(0, 6, 'B-BRAND')]
delicad;[(0, 7, 'B-BRAND')]
delicado;[(0, 8, 'B-BRAND')]
delicados;[(0, 9, 'B-BRAND')]
delicato;[(0, 8, 'B-BRAND')]
delice;[(0, 6, 'B-BRAND')]
delik;[(0, 5, 'B-BRAND')]
delikai;[(0, 7, 'B-BRAND')]
delikais;[(0, 8, 'B-BRAND')]
delikaizer;[(0, 10, 'B-BRAND')]
delikasier;[(0, 10, 'B-BRAND')]
delikayser;[(0, 10, 'B-BRAND')]
delikeser;[(0, 9, 'B-BRAND')]
demetra тор;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
demetra торт;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
deni или;[(0, 4, 'B-BRAND'), (5, 8, 'O')]
dent;[(0, 4, 'B-BRAND')]
deo;[(0, 3, 'B-BRAND')]
deonic;[(0, 6, 'B-BRAND')]
deonica кому-нибудь;[(0, 7, 'B-BRAND'), (8, 19, 'O')]
deonica тверд;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
deonica тверды;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
deonica твердый;[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]
deonika;[(0, 7, 'B-BRAND')]
derol;[(0, 5, 'B-BRAND')]
desser;[(0, 6, 'B-TYPE')]
dido;[(0, 4, 'B-BRAND')]
difol;[(0, 5, 'B-BRAND')]
dingo;[(0, 5, 'B-BRAND')]
dionica;[(0, 7, 'B-BRAND')]
dionika;[(0, 7, 'B-BRAND')]
dirol;[(0, 5, 'B-BRAND')]
disney зефир;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
disney зефира;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
doble;[(0, 5, 'B-BRAND')]
dol;[(0, 3, 'B-BRAND')]
dolce;[(0, 5, 'B-BRAND')]
dolch;[(0, 5, 'B-BRAND')]
domest;[(0, 6, 'B-BRAND')]
domesti;[(0, 7, 'B-BRAND')]
domestios;[(0, 9, 'B-BRAND')]
domesto;[(0, 7, 'B-BRAND')]
domestos;[(0, 8, 'B-BRAND')]
dona;[(0, 4, 'B-BRAND')]
donat;[(0, 5, 'B-TYPE')]
dondi;[(0, 5, 'B-BRAND')]
donna подсвечник;[(0, 5, 'B-BRAND'), (6, 16, 'B-TYPE')]
donut;[(0, 5, 'B-TYPE')]
doodmix;[(0, 7, 'B-BRAND')]
doomix;[(0, 6, 'B-BRAND')]
dorex;[(0, 5, 'B-BRAND')]
double you;[(0, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
dove;[(0, 4, 'B-BRAND')]
dr gerard;[(0, 2, 'B-BRAND'), (3, 9, 'I-BRAND')]
dr.;[(0, 3, 'B-BRAND')]
dr.aktiv;[(0, 8, 'B-BRAND')]
dr.bakers ванильн;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
dr.bakers ванильны;[(0, 9, 'B-BRAND'), (10, 18, 'B-TYPE')]
dr.bakers ванильный;[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE')]
dr.bakers разрыхлите;[(0, 9, 'B-BRAND'), (10, 20, 'B-TYPE')]
dr.bakers разрыхлитель;[(0, 9, 'B-BRAND'), (10, 22, 'B-TYPE')]
dr.bakers сод;[(0, 9, 'B-BRAND'), (10, 13, 'B-TYPE')]
dr.oetker ванильн;[(0, 9, 'B-BRAND'), (10, 17, 'B-TYPE')]
dr.oetker ванильный;[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE')]
dr.oetker желат;[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE')]
dr.oetker желати;[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
dr.oetker кисе;[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]
dr.oetker кисель;[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
dr.proper;[(0, 9, 'B-BRAND')]
dragon;[(0, 6, 'B-BRAND')]
dreami;[(0, 6, 'B-BRAND')]
dreamie;[(0, 7, 'B-BRAND')]
dreamies;[(0, 8, 'B-BRAND')]
dreeme;[(0, 6, 'B-BRAND')]
dremi;[(0, 5, 'B-BRAND')]
drimis;[(0, 6, 'B-BRAND')]
drims;[(0, 5, 'B-BRAND')]
drive оч;[(0, 5, 'B-BRAND'), (6, 8, 'B-TYPE')]
drive очк;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
drive очки;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
drive чип;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
drive чипс;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
drkrner;[(0, 7, 'O')]
drummies;[(0, 8, 'B-BRAND')]
durex;[(0, 5, 'B-BRAND')]
e e;[(0, 1, 'O'), (2, 3, 'O')]
earl;[(0, 4, 'B-BRAND')]
earlgr;[(0, 6, 'B-BRAND')]
eclipse;[(0, 7, 'B-BRAND')]
econiva;[(0, 7, 'B-BRAND')]
econova та;[(0, 7, 'B-BRAND'), (8, 10, 'B-TYPE')]
econova таз;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
econova тазы;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
econta;[(0, 6, 'B-BRAND')]
econta вилк;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
econta вилки;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
econta гел;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
econta гель;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
econta грану;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
econta гранулы;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
econta губ;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
econta губк;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
econta губка;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
econta зубочист;[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]
econta зубочистк;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
econta зубочистки;[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]
econta одея;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
econta сум;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
econta сумк;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
econta сумка;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
econta табле;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
econta таблет;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
ecos шат;[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
ecos шатр;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
ediger;[(0, 6, 'O')]
edu;[(0, 3, 'O')]
egoist;[(0, 6, 'B-BRAND')]
egs;[(0, 3, 'O')]
eguar;[(0, 5, 'O')]
ei;[(0, 2, 'O')]
eix impor;[(0, 3, 'O'), (4, 9, 'O')]
ekzo;[(0, 4, 'B-BRAND')]
ela;[(0, 3, 'O')]
eli;[(0, 3, 'B-BRAND')]
elie;[(0, 4, 'O')]
elit-li;[(0, 7, 'O')]
ella;[(0, 4, 'O')]
elos;[(0, 4, 'B-BRAND')]
elsev;[(0, 5, 'B-BRAND')]
elseva;[(0, 6, 'B-BRAND')]
elvive;[(0, 6, 'B-BRAND')]
emand;[(0, 5, 'B-BRAND')]
emandhof;[(0, 8, 'B-BRAND')]
emborg трес;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
emborg треск;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
ene;[(0, 3, 'O')]
energ;[(0, 5, 'B-TYPE')]
energy;[(0, 6, 'B-TYPE')]
energy зажигал;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
energy зажигалки;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
energy кофевар;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
energy кофеварок;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
eona;[(0, 4, 'O')]
eos;[(0, 3, 'O')]
epic;[(0, 4, 'B-BRAND')]
epoca;[(0, 5, 'B-BRAND')]
erhmann;[(0, 7, 'B-BRAND')]
espa кому-нибудь;[(0, 4, 'B-BRAND'), (5, 16, 'O')]
espeesso;[(0, 8, 'B-TYPE')]
essa пи;[(0, 4, 'B-BRAND'), (5, 7, 'B-TYPE')]
essa пив;[(0, 4, 'B-BRAND'), (5, 8, 'B-TYPE')]
essa пиво;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
esse;[(0, 4, 'B-BRAND')]
essen;[(0, 5, 'B-TYPE')]
ete-in;[(0, 6, 'O')]
eva;[(0, 3, 'O')]
evere;[(0, 5, 'B-BRAND')]
everes;[(0, 6, 'B-BRAND')]
everess;[(0, 7, 'B-BRAND')]
everest;[(0, 7, 'B-BRAND')]
everness;[(0, 8, 'B-BRAND')]
everoess;[(0, 8, 'B-BRAND')]
everve;[(0, 6, 'B-BRAND')]
evervesse;[(0, 9, 'B-BRAND')]
evervest;[(0, 8, 'B-BRAND')]
evervves;[(0, 8, 'B-BRAND')]
evitest;[(0, 7, 'B-BRAND')]
expo;[(0, 4, 'B-BRAND')]
expomenta;[(0, 9, 'B-BRAND')]
expon;[(0, 5, 'B-BRAND')]
exponen;[(0, 7, 'B-TYPE')]
exponenra;[(0, 9, 'B-BRAND')]
exponentnta;[(0, 11, 'B-BRAND')]
exponento;[(0, 9, 'B-BRAND')]
exponet;[(0, 7, 'B-BRAND')]
exponnenta;[(0, 10, 'B-BRAND')]
exponwnta;[(0, 9, 'B-BRAND')]
exxe брит;[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]
exxe бритв;[(0, 4, 'B-BRAND'), (5, 10, 'B-TYPE')]
exxe порошк;[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]
exxe порошка;[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE')]
eхponenta;[(0, 9, 'B-BRAND')]
fabriq;[(0, 6, 'B-BRAND')]
fackelmann хлебни;[(0, 10, 'B-BRAND'), (11, 17, 'B-TYPE')]
fackelmann хлебниц;[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]
fackelmann хлебницы;[(0, 10, 'B-BRAND'), (11, 19, 'B-TYPE')]
fairi;[(0, 5, 'B-BRAND')]
fairyǰ;[(0, 6, 'B-BRAND')]
faity;[(0, 5, 'B-BRAND')]
famicollection;[(0, 14, 'O')]
familia;[(0, 7, 'B-BRAND')]
fantel;[(0, 6, 'B-BRAND')]
fariy;[(0, 5, 'B-BRAND')]
farry;[(0, 5, 'B-BRAND')]
fary;[(0, 4, 'B-BRAND')]
fayry;[(0, 5, 'B-BRAND')]
fazer лепеш;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
fazer лепешка;[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
feder;[(0, 5, 'B-BRAND')]
fel;[(0, 3, 'B-BRAND')]
feli;[(0, 4, 'B-BRAND')]
felic;[(0, 5, 'B-BRAND')]
feliks;[(0, 6, 'B-BRAND')]
felix в соусе;[(0, 5, 'B-BRAND'), (6, 7, 'O'), (8, 13, 'O')]
felixe;[(0, 6, 'B-BRAND')]
felixp;[(0, 6, 'B-BRAND')]
fellix;[(0, 6, 'B-BRAND')]
felux;[(0, 5, 'B-BRAND')]
feniks+ пен;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
feniks+ пена;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
feniks+ пенал;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
fererro;[(0, 7, 'B-BRAND')]
ferr;[(0, 4, 'B-BRAND')]
ferre;[(0, 5, 'B-BRAND')]
ferrero дра;[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
ferrero драж;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
fialco сам;[(0, 6, 'B-BRAND'), (7, 10, 'O')]
fialco тарел;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
fialco тарелк;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
filippo;[(0, 7, 'B-BRAND')]
fini;[(0, 4, 'B-BRAND')]
finis;[(0, 5, 'B-BRAND')]
finish;[(0, 6, 'B-BRAND')]
finish капсу;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
finish капсул;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
finish капсулы;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
fish house;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
fishka бублик;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
fishka бублики;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
fishka грен;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
fishka гренк;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
fitn;[(0, 4, 'B-TYPE')]
fitne;[(0, 5, 'B-TYPE')]
fitnes;[(0, 6, 'B-TYPE')]
fito х;[(0, 4, 'B-BRAND'), (5, 6, 'B-TYPE')]
fito хн;[(0, 4, 'B-BRAND'), (5, 7, 'B-TYPE')]
flale;[(0, 5, 'O')]
flamen;[(0, 6, 'B-BRAND')]
flamenko;[(0, 8, 'B-BRAND')]
flas;[(0, 4, 'B-BRAND')]
flash;[(0, 5, 'B-BRAND')]
flashp;[(0, 6, 'B-BRAND')]
flatel тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
flavorit;[(0, 8, 'B-BRAND')]
flavorite;[(0, 9, 'B-BRAND')]
flech;[(0, 5, 'B-BRAND')]
flex;[(0, 4, 'B-BRAND')]
floris чанах;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
flors;[(0, 5, 'O')]
foemn;[(0, 5, 'O')]
fortuna;[(0, 7, 'B-BRAND')]
fox;[(0, 3, 'B-BRAND')]
frande;[(0, 6, 'B-BRAND')]
frash;[(0, 5, 'B-BRAND')]
freh;[(0, 4, 'B-BRAND')]
fres;[(0, 4, 'B-BRAND')]
fresco же;[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]
fresco жел;[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
fresco реди;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
fresco редис;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
fresh bar;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND')]
fresh bar jelly;[(0, 5, 'B-BRAND'), (6, 9, 'I-BRAND'), (10, 15, 'I-BRAND')]
fresko;[(0, 6, 'B-BRAND')]
frisi;[(0, 5, 'O')]
friso недалеко;[(0, 5, 'B-BRAND'), (6, 14, 'O')]
friso хочу;[(0, 5, 'B-BRAND'), (6, 10, 'O')]
frlix;[(0, 5, 'B-BRAND')]
fru;[(0, 3, 'B-TYPE')]
fructi;[(0, 6, 'B-TYPE')]
fructos;[(0, 7, 'B-TYPE')]
frui;[(0, 4, 'B-TYPE')]
fruil;[(0, 5, 'B-TYPE')]
fruirella;[(0, 9, 'B-BRAND')]
fruit;[(0, 5, 'B-TYPE')]
fruit-tella;[(0, 11, 'B-BRAND')]
fruitella;[(0, 9, 'B-BRAND')]
fruitte;[(0, 7, 'B-TYPE')]
fruittel;[(0, 8, 'B-BRAND')]
fruittella;[(0, 10, 'B-BRAND')]
fruittella дра;[(0, 10, 'B-BRAND'), (11, 14, 'B-TYPE')]
fruittella драж;[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]
fruittella драже;[(0, 10, 'B-BRAND'), (11, 16, 'B-TYPE')]
fruittella конфе;[(0, 10, 'B-BRAND'), (11, 16, 'B-TYPE')]
fruittella конфет;[(0, 10, 'B-BRAND'), (11, 17, 'B-TYPE')]
frum;[(0, 4, 'B-TYPE')]
frusty;[(0, 6, 'B-BRAND')]
frut;[(0, 4, 'B-TYPE')]
frutees;[(0, 7, 'B-BRAND')]
frutt;[(0, 5, 'B-BRAND')]
fruttis;[(0, 7, 'B-BRAND')]
frutz;[(0, 5, 'B-BRAND')]
frutzone;[(0, 8, 'B-BRAND')]
frмармелад;[(0, 10, 'B-TYPE')]
fsherpric;[(0, 9, 'O')]
fusion;[(0, 6, 'B-BRAND')]
gal;[(0, 3, 'B-BRAND')]
galaktika или;[(0, 9, 'B-BRAND'), (10, 13, 'O')]
galba;[(0, 5, 'B-BRAND')]
galbani;[(0, 7, 'B-BRAND')]
galli;[(0, 5, 'B-BRAND')]
gallin;[(0, 6, 'B-BRAND')]
ganc sho;[(0, 4, 'O'), (5, 8, 'O')]
ganni oti;[(0, 5, 'O'), (6, 9, 'O')]
garard;[(0, 6, 'B-BRAND')]
gardenvision сажен;[(0, 12, 'B-BRAND'), (13, 18, 'B-TYPE')]
gardenvision саженец;[(0, 12, 'B-BRAND'), (13, 20, 'B-TYPE')]
gardex;[(0, 6, 'B-BRAND')]
gardix;[(0, 6, 'B-BRAND')]
garella;[(0, 7, 'B-BRAND')]
garila;[(0, 6, 'B-BRAND')]
garling конь;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
garling конья;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
garling коньяк;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
garnec;[(0, 6, 'B-BRAND')]
garnier;[(0, 7, 'B-BRAND')]
garnier лось;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
garnier лосьо;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
garnier лосьон;[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
garnier роли;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
garnier ролик;[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
garnir;[(0, 6, 'B-TYPE')]
gaudo;[(0, 5, 'B-BRAND')]
gavary ботин;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
gavary ботинк;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
gavary ботинки;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
ge;[(0, 2, 'O')]
gerb;[(0, 4, 'B-BRAND')]
gerber;[(0, 6, 'B-BRAND')]
gez;[(0, 3, 'O')]
gilete;[(0, 6, 'B-BRAND')]
gillet;[(0, 6, 'B-BRAND')]
gillete;[(0, 7, 'B-BRAND')]
gillette спр;[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]
gillette спре;[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
gillette спрея;[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
gillette таблетк;[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
giuliea;[(0, 7, 'O')]
gl pharmeuticals;[(0, 2, 'O'), (3, 16, 'O')]
glace;[(0, 5, 'B-BRAND')]
glade;[(0, 5, 'B-BRAND')]
glade диффузо;[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
glade са;[(0, 5, 'B-BRAND'), (6, 8, 'B-TYPE')]
glade саш;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
glade саше;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
glibal;[(0, 6, 'B-BRAND')]
glo;[(0, 3, 'B-BRAND')]
glob;[(0, 4, 'B-BRAND')]
global village вишня;[(0, 6, 'O'), (7, 14, 'O'), (15, 20, 'B-TYPE')]
global village летняя ягода;[(0, 6, 'B-BRAND'), (7, 14, 'I-BRAND'), (15, 21, 'B-TYPE'), (22, 27, 'I-TYPE')]
global village нектар;[(0, 6, 'O'), (7, 14, 'O'), (15, 21, 'B-TYPE')]
global villedge летняя;[(0, 6, 'B-BRAND'), (7, 15, 'I-BRAND'), (16, 22, 'O')]
globus;[(0, 6, 'B-BRAND')]
globus компо;[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
globus компот;[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
globus компоты;[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]
gloos;[(0, 5, 'B-BRAND')]
glori;[(0, 5, 'B-BRAND')]
gloss;[(0, 5, 'B-TYPE')]
gol;[(0, 3, 'B-BRAND')]
gold;[(0, 4, 'B-BRAND')]
golden;[(0, 6, 'B-BRAND')]
goobmix;[(0, 7, 'B-BRAND')]
goodix;[(0, 6, 'B-BRAND')]
goodmiks;[(0, 8, 'B-BRAND')]
goodnix;[(0, 7, 'B-BRAND')]
googmi;[(0, 6, 'B-BRAND')]
goril;[(0, 5, 'B-BRAND')]
gorila;[(0, 6, 'B-BRAND')]
gorill;[(0, 6, 'B-BRAND')]
gorilla;[(0, 7, 'B-BRAND')]
gourme;[(0, 6, 'B-BRAND')]
gourmet;[(0, 7, 'B-TYPE')]
grana;[(0, 5, 'B-BRAND')]
granbe;[(0, 6, 'B-BRAND')]
grand;[(0, 5, 'B-BRAND')]
grandblue;[(0, 9, 'B-BRAND')]
grande;[(0, 6, 'B-BRAND')]
grang;[(0, 5, 'B-BRAND')]
grange;[(0, 6, 'B-BRAND')]
grante;[(0, 6, 'B-BRAND')]
grass universal cleaner;[(0, 5, 'B-TYPE'), (6, 15, 'O'), (16, 23, 'O')]
grass ополаскивате;[(0, 5, 'B-BRAND'), (6, 18, 'B-TYPE')]
grass ополаскивател;[(0, 5, 'B-BRAND'), (6, 19, 'B-TYPE')]
grass ополаскиватель;[(0, 5, 'B-BRAND'), (6, 20, 'B-TYPE')]
grassa;[(0, 6, 'B-BRAND')]
gray;[(0, 4, 'B-BRAND')]
